sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
大同,臺北市,37,,良好,0.6,0.3,9.5,5.6,17,9,9.2,12.7,3.4,-,-,"2024/06/25 04:00:00",0.9,11.3,19,1,121.51342074,25.06331455,16
桃園,桃園市,25,,良好,2.2,0.23,3.8,12,24,6,15,16.6,1.6,0.6,170,"2024/06/25 04:00:00",0.2,4.2,16,0,121.30500531,24.9947107,17
大園,桃園市,18,,良好,0.4,0.21,10.2,15.1,16,5,11.7,12.3,0.6,0.9,144,"2024/06/25 04:00:00",0.2,4.7,14,0,121.20251473,25.06100357,18
觀音,桃園市,30,,良好,0.6,0.13,12.9,12.8,28,9,9.8,9.5,0,0.4,152,"2024/06/25 04:00:00",0.1,9.1,17,0,121.08283092,25.03556747,19
平鎮,桃園市,16,,良好,0,0.12,13.9,17.7,12,1,4.1,5.5,1.4,2.1,191,"2024/06/25 04:00:00",0.1,2.7,12,0,121.203986,24.952786,20
龍潭,桃園市,24,,良好,0.8,0.1,13.1,16,16,6,4.4,5.6,1.1,1.1,166,"2024/06/25 04:00:00",0.1,7.4,17,1,121.21645772,24.86400048,21
湖口,新竹縣,28,,良好,0.2,0.13,19.6,18.7,6,6,3.6,4.3,0.6,1.1,169,"2024/06/25 04:00:00",0.1,8.5,9,0,121.03886894,24.90009696,22
竹東,新竹縣,16,,良好,0.5,0.1,13.9,15.7,15,6,2,2.6,0.5,2.1,121,"2024/06/25 04:00:00",0.1,4.8,15,0,121.08895493,24.74091408,23
新竹,新竹市,17,,良好,0.7,0.15,4.3,10.8,14,7,10.5,11.1,0.5,0.5,31,"2024/06/25 04:00:00",0.1,4,12,1,120.97236752,24.8056356,24
頭份,苗栗縣,19,,良好,1.1,0.11,10.7,12.2,10,7,3.3,4.5,1.2,1.6,107,"2024/06/25 04:00:00",0.1,6,15,1,120.89869286,24.69690679,25
苗栗,苗栗縣,17,,良好,1.1,0.08,16.4,16.7,11,6,3.9,5.5,1.6,2.5,201,"2024/06/25 04:00:00",0.1,5.1,10,1,120.82011468,24.56499183,26
三義,苗栗縣,17,,良好,1,0.09,20.1,16.8,12,4,0.9,2.2,1.3,1.2,220,"2024/06/25 04:00:00",0.1,5.1,10,1,120.75956754,24.38248443,27
豐原,臺中市,18,,良好,0.4,0.13,8.1,11.7,19,3,4.7,5.4,0.7,0.9,176,"2024/06/25 04:00:00",0.1,3.6,18,1,120.74252414,24.25699731,28
沙鹿,臺中市,18,,良好,0.7,0.13,15.9,19.2,17,5,4.9,5.3,0.4,1.8,157,"2024/06/25 04:00:00",0.1,5.3,12,0,120.568794,24.225628,29
大里,臺中市,14,,良好,0.6,0.11,8.7,11.1,10,,4.5,4.4,0,1.3,247,"2024/06/25 04:00:00",0.1,,14,1,120.67844444,24.09961111,30
忠明,臺中市,20,,良好,0.9,0.15,9.4,12.7,16,8,5,6.5,1.4,1.5,192,"2024/06/25 04:00:00",0.2,6.1,15,1,120.641092,24.151958,31
西屯,臺中市,19,,良好,0.8,0.12,8,11.4,19,3,7.2,8.2,1,1.1,182,"2024/06/25 04:00:00",0.1,6,19,1,120.616917,24.162197,32
